MCU问题单号,问题描述,进展,根因,对策,车族,车型,电驱代号,管理平台,问题类别,问题解析报告,问题解析附件,车辆类型,仪表指示灯,故障DTC,故障工况,故障时刻
SW-H97DLC-L160D-011,H97D LC前控制器带载老化到80分钟左右时，薄膜电容失效,,老化测试发现程序BUG会导致峰值工况异常持续（要求峰值工况测试10s）：实际过程中如果10s内峰值出现波动超出台架设置的上下限，系统会自动判定fail，但不会停机，而是重新跑完一个完整的10s工况才会跳转到额定工况继续测试。,NA,H97系列,H97D LC-REV-400V,L160D,智新科技400V-ID4,NA,https://hav4xarv6k.feishu.cn/file/E9c0bI1ZModNXExH4B1cMhOan4d,https://hav4xarv6k.feishu.cn/drive/folder/Rib0fSYj3lhJKhdMAE1cG4gFnVg?from=space_personal_filelist,试验车,无,P2D9E16,无法确认故障工况,
SW-H97a/c-L160A-028,1018重庆控制器三项绝缘1.4兆欧,,铜排打火,,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/docx/JT6LdoJ7ZoCs14xlIJscJVnkncv,铜排烧蚀问题合并处理,商品车,无,NA,车辆启动,
SW-H97a/c-L160A-029,1019绍兴控制器正负极阻抗2.7k,,铜排打火,,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/docx/RxfhdaBjbojd6wxGyZecqdwhnJh,铜排烧蚀问题合并处理,商品车,动力系统故障红灯,NA,车辆启动,
SW-H37A-H200A-047,2250-5100rpm之间有载频声音,,中心频率和随机载频需优化,,H37系列,H37A-EV-800V,H200A,智新科技800V-ID4-同步,性能|NVH,https://hav4xarv6k.feishu.cn/sheets/BUYGsEwo9hFL03tcQ9xcyb2xn1b,https://hav4xarv6k.feishu.cn/drive/folder/ZMuefSk5qlCq44dbb4rcNPW8nFf,试验车,无,NA,平稳驾驶,
SW-H37A-H200A-048,油泵通信丢失故障后，电机在10500r附近严重抖动,,"1、电机保护动作是：电机转速>10000r&&<10500r时，从50%线性限功到0；
2、转速达到10500r时，功率降为0，开始减速，速度小于10500r后扭矩介入，开始加速，最高转速到11600r左右，又减速到10500r以下。由此反复进出导致在10500r上下抖动。",,H37系列,H37A-EV-800V,H200A,智新科技800V-ID4-同步,软件|应用层,https://hav4xarv6k.feishu.cn/file/ZJ9YbJi90o95NwxE08gckO3GnRV,https://hav4xarv6k.feishu.cn/drive/folder/Y8ohfunonlcslZdKb3XcDhtfnMc,试验车,"电机故障黄灯, 动力系统故障黄灯",U069887,平稳驾驶,
SW-H37A-L200A-009,50Nm&7522rpm&384V长直路抛锚，报出退饱和故障,,NTF：报故障码为下桥臂退饱和，faultA引脚触发故障，可能原因为过流、退饱和、发波故障,NA,H37系列,H37A-EV-400V,L200A,智新控制400V-ID2,硬件|高压侧,https://hav4xarv6k.feishu.cn/slides/EEM0skDDplz9I6dL4YpctJdmnBS,https://hav4xarv6k.feishu.cn/drive/folder/Qn1PfpT8gltt9tdJQMKcmlIfnrc,试验车,"电机故障红灯, 动力系统故障黄灯",P161309,平稳驾驶,
SW-H37-L200B-018,R档踩刹车1kmh工况，车辆蹿动,,回馈功率限值30rpm不限制功能未做好,,H37系列,H37A-EV-400V,L200B,智新科技400V-ID4,软件|应用层,https://hav4xarv6k.feishu.cn/docx/Wm4fdZwD1ogYbvxoQetcZd3qnBh,https://hav4xarv6k.feishu.cn/drive/folder/F1aWfsH5RlrKGNdwOjjcknBtnxd,试验车,无,NA,平稳驾驶,
SW-H97a/c-L200A-072,深圳后电机HV MCU故障,,串口通讯丢失故障,,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/slides/KtaDswxCPlXbjXdDbobcp3kGnMb?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/Tf1mfr8e7lII77dV89PcsNWqnTh,商品车,"电机故障红灯, 动力系统故障黄灯",NA,车辆启动,
SW-H56bG-L200B-001,滑行回充过流故障,问题发生在公告软件；已在PPC2软件集成优化，但PPC2软件虽已完成内部评审但未做正式发布TC，已在冬标中验证通过,MCU侧：母线电流估算精度差，致VCU计算出来的功率可能超限,,H56系列,H56bG-EV-400V,L200B,智新科技400V-ID4,软件|应用层,https://hav4xarv6k.feishu.cn/docx/F37DdCFLloYbCoxfVr9cQyB6nPd,https://hav4xarv6k.feishu.cn/drive/folder/DzPvfWLPplCVRudBvoNclwujnBf,试验车,动力系统故障黄灯,NA,平稳驾驶,
SW-H97a/c-L200A-073,重庆H97c行驶限功率,,串口通讯丢失故障,,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/slides/KtaDswxCPlXbjXdDbobcp3kGnMb?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/RI32fAsGXlayXxdAT4HcTxQfnng?from=from_copylink,商品车,"电机故障红灯, 动力系统故障黄灯",NA,车辆启动,
